ds,y
2021-10-02 18:00:00,568
2021-10-02 19:00:00,631
2021-10-02 20:00:00,773
2021-10-02 21:00:00,890
2021-10-02 22:00:00,804
2021-10-02 23:00:00,695
2021-10-03 00:00:00,546
2021-10-03 01:00:00,356
2021-10-03 02:00:00,188
2021-10-03 03:00:00,124
2021-10-03 04:00:00,92
2021-10-03 05:00:00,172
2021-10-03 06:00:00,226
2021-10-03 07:00:00,368
2021-10-03 08:00:00,418
2021-10-03 09:00:00,502
2021-10-03 10:00:00,586
2021-10-03 11:00:00,626
2021-10-03 12:00:00,581
2021-10-03 13:00:00,608
2021-10-03 14:00:00,554
2021-10-03 15:00:00,540
2021-10-03 16:00:00,607
2021-10-03 17:00:00,574
2021-10-03 18:00:00,543
2021-10-03 19:00:00,621
2021-10-03 20:00:00,798
2021-10-03 21:00:00,843
2021-10-03 22:00:00,888
2021-10-03 23:00:00,681
2021-10-04 00:00:00,527
2021-10-04 01:00:00,340
2021-10-04 02:00:00,185
2021-10-04 03:00:00,118
2021-10-04 04:00:00,95
2021-10-04 05:00:00,145
2021-10-04 06:00:00,198
2021-10-04 07:00:00,302
2021-10-04 08:00:00,415
2021-10-04 09:00:00,500
2021-10-04 10:00:00,529
2021-10-04 11:00:00,614
2021-10-04 12:00:00,719
2021-10-04 13:00:00,573
2021-10-04 14:00:00,601
2021-10-04 15:00:00,684
2021-10-04 16:00:00,662
2021-10-04 17:00:00,556
2021-10-04 18:00:00,543
2021-10-04 19:00:00,625
2021-10-04 20:00:00,873
2021-10-04 21:00:00,979
2021-10-04 22:00:00,876
2021-10-04 23:00:00,766
2021-10-05 00:00:00,478
2021-10-05 01:00:00,261
2021-10-05 02:00:00,207
2021-10-05 03:00:00,125
2021-10-05 04:00:00,122
2021-10-05 05:00:00,145
2021-10-05 06:00:00,208
2021-10-05 07:00:00,367
2021-10-05 08:00:00,398
2021-10-05 09:00:00,497
2021-10-05 10:00:00,605
2021-10-05 11:00:00,620
2021-10-05 12:00:00,623
2021-10-05 13:00:00,539
2021-10-05 14:00:00,595
2021-10-05 15:00:00,664
2021-10-05 16:00:00,634
2021-10-05 17:00:00,622
2021-10-05 18:00:00,583
2021-10-05 19:00:00,628
2021-10-05 20:00:00,877
2021-10-05 21:00:00,989
2021-10-05 22:00:00,858
2021-10-05 23:00:00,700
2021-10-06 00:00:00,520
2021-10-06 01:00:00,339
2021-10-06 02:00:00,217
2021-10-06 03:00:00,145
2021-10-06 04:00:00,124
2021-10-06 05:00:00,152
2021-10-06 06:00:00,221
2021-10-06 07:00:00,319
2021-10-06 08:00:00,386
2021-10-06 09:00:00,520
2021-10-06 10:00:00,550
2021-10-06 11:00:00,597
2021-10-06 12:00:00,671
2021-10-06 13:00:00,626
2021-10-06 14:00:00,581
2021-10-06 15:00:00,633
2021-10-06 16:00:00,597
2021-10-06 17:00:00,529
2021-10-06 18:00:00,600
2021-10-06 19:00:00,725
2021-10-06 20:00:00,878
2021-10-06 21:00:00,919
2021-10-06 22:00:00,853
2021-10-06 23:00:00,708
2021-10-07 00:00:00,507
2021-10-07 01:00:00,308
2021-10-07 02:00:00,191
2021-10-07 03:00:00,132
2021-10-07 04:00:00,148
2021-10-07 05:00:00,109
2021-10-07 06:00:00,189
2021-10-07 07:00:00,306
2021-10-07 08:00:00,413
2021-10-07 09:00:00,487
2021-10-07 10:00:00,561
2021-10-07 11:00:00,608
2021-10-07 12:00:00,636
2021-10-07 13:00:00,622
2021-10-07 14:00:00,649
2021-10-07 15:00:00,588
2021-10-07 16:00:00,584
2021-10-07 17:00:00,524
2021-10-07 18:00:00,566
2021-10-07 19:00:00,662
2021-10-07 20:00:00,841
2021-10-07 21:00:00,901
2021-10-07 22:00:00,921
2021-10-07 23:00:00,693
2021-10-08 00:00:00,429
2021-10-08 01:00:00,284
2021-10-08 02:00:00,198
2021-10-08 03:00:00,116
2021-10-08 04:00:00,124
2021-10-08 05:00:00,127
2021-10-08 06:00:00,159
2021-10-08 07:00:00,256
2021-10-08 08:00:00,367
2021-10-08 09:00:00,433
2021-10-08 10:00:00,489
2021-10-08 11:00:00,550
2021-10-08 12:00:00,551
2021-10-08 13:00:00,488
2021-10-08 14:00:00,541
2021-10-08 15:00:00,581
2021-10-08 16:00:00,539
2021-10-08 17:00:00,536
2021-10-08 18:00:00,572
2021-10-08 19:00:00,651
2021-10-08 20:00:00,807
2021-10-08 21:00:00,951
2021-10-08 22:00:00,876
2021-10-08 23:00:00,667
2021-10-09 00:00:00,466
2021-10-09 01:00:00,269
2021-10-09 02:00:00,175
2021-10-09 03:00:00,163
2021-10-09 04:00:00,128
2021-10-09 05:00:00,167
2021-10-09 06:00:00,192
2021-10-09 07:00:00,306
2021-10-09 08:00:00,456
2021-10-09 09:00:00,463
2021-10-09 10:00:00,542
2021-10-09 11:00:00,580
2021-10-09 12:00:00,603
2021-10-09 13:00:00,602
2021-10-09 14:00:00,526
2021-10-09 15:00:00,637
2021-10-09 16:00:00,554
2021-10-09 17:00:00,551
2021-10-09 18:00:00,571
